epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,2892.01,0.39112,0.7604,0.07768,0.36499,0.92626,0.90021,0.91135,0.95606,0.93937,0.89123,0.8913,0.9298,0.76115,0.24017,0.84025,0.04168,0.47866,0.86973,0.000808828,0.000808828,0.000808828
54,2945.84,0.39773,0.78406,0.08024,0.37028,0.92829,0.89097,0.92984,0.9573,0.94,0.87476,0.91816,0.9368,0.7608,0.24282,0.82407,0.04208,0.44634,0.86851,0.000792325,0.000792325,0.000792325
55,2998.85,0.38948,0.78594,0.07814,0.3636,0.92425,0.8951,0.91373,0.95332,0.93515,0.88425,0.89649,0.927,0.75191,0.24455,0.83557,0.04119,0.46557,0.86822,0.000775822,0.000775822,0.000775822
56,3052.27,0.38762,0.77781,0.07643,0.35651,0.92619,0.89746,0.92563,0.95609,0.93934,0.88525,0.90349,0.93141,0.75889,0.24519,0.82469,0.04295,0.44789,0.87078,0.000759318,0.000759318,0.000759318
57,3105.35,0.39035,0.77602,0.07564,0.35915,0.92813,0.89403,0.92973,0.95416,0.93753,0.878,0.9131,0.92732,0.75518,0.23629,0.82112,0.04175,0.44748,0.86825,0.000742815,0.000742815,0.000742815
58,3158.87,0.38668,0.76371,0.08051,0.36508,0.92466,0.90394,0.9185,0.9545,0.93776,0.89014,0.90099,0.93163,0.76408,0.24188,0.83032,0.03935,0.46321,0.8716,0.000726312,0.000726312,0.000726312
59,3219.02,0.38187,0.76117,0.07484,0.35016,0.92247,0.90842,0.91872,0.94985,0.93113,0.89235,0.90403,0.9232,0.75381,0.24748,0.81557,0.04238,0.44355,0.87384,0.000709809,0.000709809,0.000709809
60,3272.35,0.38571,0.76975,0.07416,0.3568,0.92485,0.90247,0.91366,0.95398,0.93727,0.88087,0.90408,0.93166,0.76374,0.23865,0.80502,0.0411,0.45746,0.86888,0.000693305,0.000693305,0.000693305
61,3332.92,0.38401,0.74825,0.07756,0.35208,0.92634,0.90306,0.91388,0.94616,0.92706,0.88584,0.89635,0.92086,0.74521,0.24232,0.82104,0.03953,0.46347,0.86969,0.000676802,0.000676802,0.000676802
62,3387.6,0.37841,0.74303,0.07446,0.35317,0.9179,0.90964,0.90914,0.95196,0.93439,0.89407,0.89355,0.92574,0.75095,0.23732,0.81975,0.03932,0.45494,0.86668,0.000660299,0.000660299,0.000660299
